Project,Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-In,Fan-Out,DIT,File
group02,group02.backend,app,,58,3,1,1,1,1,0,0,0,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\app.py
group02,group02.backend,database,,0,0,0,0,1,1,-1,0,0,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\database.py
group02,group02.backend.config,config_postgres,,6,1,0,0,2,2,-1,0,0,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\config\config_postgres.py
group02,group02.backend.config,config_postgres,Config,6,1,1,1,3,3,0,0,0,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\config\config_postgres.py
group02,group02.backend.config,config_supabase,,0,0,0,0,4,4,-1,0,0,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\config\config_supabase.py
group02,group02.backend.config,test-config,,10,2,0,0,0,0,-1,0,0,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\config\test-config.py
group02,group02.backend.config,test-config,TestConfig,10,2,2,2,0,0,1,0,0,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\config\test-config.py
group02,group02.backend.config,__init__,,0,0,0,0,0,0,-1,0,0,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\config\__init__.py
group02,group02.backend.DPy,push_to_dcode,,73,10,1,1,0,0,0,0,0,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\DPy\push_to_dcode.py
group02,group02.backend.middleware,auth_middleware,,85,2,2,2,0,0,1,0,0,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\middleware\auth_middleware.py
group02,group02.backend.models,answer,,49,10,0,0,0,0,-1,2,0,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\answer.py
group02,group02.backend.models,answer,Answer,49,10,3,3,8,7,0,2,0,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\answer.py
group02,group02.backend.models,base_model,,41,7,0,0,0,0,-1,0,0,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\base_model.py
