Project,Package,Module,Class,Method,LOC,CC,PC
group02,group02.backend,app,,create_app,58,3,0
group02,group02.backend.config,config_postgres,Config,print_db_uri,2,1,1
group02,group02.backend.config,test-config,TestConfig,test_config_loads_env_vars,4,1,0
group02,group02.backend.config,test-config,TestConfig,test_config_fallback,5,1,0
group02,group02.backend.DPy,push_to_dcode,,main,73,10,0
group02,group02.backend.middleware,auth_middleware,,login_required,63,2,1
group02,group02.backend.middleware,auth_middleware,,token_required,22,0,1
group02,group02.backend.models,answer,Answer,can_be_edited_by,6,1,1
group02,group02.backend.models,answer,Answer,update_answer,17,5,1
group02,group02.backend.models,answer,Answer,to_dict,16,4,2
group02,group02.backend.models,base_model,BaseModel,to_dict,8,1,0
group02,group02.backend.models,base_model,BaseModel,create,7,1,2
group02,group02.backend.models,base_model,BaseModel,get_by_id,4,1,2
group02,group02.backend.models,base_model,BaseModel,get_all,4,1,2
group02,group02.backend.models,base_model,BaseModel,update,7,2,1
group02,group02.backend.models,base_model,BaseModel,delete,5,1,0
group02,group02.backend.models,comment,Comment,to_dict,9,1,0
group02,group02.backend.models,notification,Notification,to_dict,9,1,0
group02,group02.backend.models,notification,Notification,get_notifications_for_user,2,1,2
group02,group02.backend.models,question,Question,to_dict,31,4,2
group02,group02.backend.models,question,Question,sanitize_body,3,2,0
group02,group02.backend.models,question,Question,increment_view_count,6,2,0
group02,group02.backend.models,question,Question,can_be_edited_by,9,1,1
group02,group02.backend.models,question,Question,update_question,38,17,3
group02,group02.backend.models,question,Question,create_with_sanitized_body,6,1,2
group02,group02.backend.models,question,Question,create_with_tags,28,5,3
group02,group02.backend.models,question,,update_timestamp,2,1,3
group02,group02.backend.models,questiontag,QuestionTag,to_dict,8,1,0
group02,group02.backend.models,tag,Tag,to_dict,9,1,0
group02,group02.backend.models,user,User,to_dict,13,1,0
group02,group02.backend.models,user,User,get_by_id,2,1,2
group02,group02.backend.models,user,User,update_fields,22,4,3
group02,group02.backend.models,vote,Vote,to_dict,10,1,0
group02,group02.backend.routes,answer_routes,,get_answers,30,4,1
group02,group02.backend.routes,answer_routes,,get_answer_count,18,1,1
group02,group02.backend.routes,answer_routes,,create_answer,62,1,2
group02,group02.backend.routes,answer_routes,,get_answer_for_edit,16,1,1
group02,group02.backend.routes,answer_routes,,update_answer,44,2,1
group02,group02.backend.routes,answer_routes,,get_comments_for_answer,27,2,1
group02,group02.backend.routes,comment_routes,,create_comment,19,2,0
group02,group02.backend.routes,comment_routes,,update_comment,28,2,1
group02,group02.backend.routes,comment_routes,,delete_comment,18,1,1
group02,group02.backend.routes,comment_routes,,get_all_comments,11,1,0
group02,group02.backend.routes,gemini_ai_routes,,generate_ai_answer,31,1,0
group02,group02.backend.routes,gemini_ai_routes,,summarize_top_answers,24,3,0
group02,group02.backend.routes,login_routes,,login,27,2,0
group02,group02.backend.routes,login_routes,,logout,9,1,0
group02,group02.backend.routes,login_routes,,check_login,6,1,0
group02,group02.backend.routes,login_routes,,login_page,6,1,0
group02,group02.backend.routes,login_routes,,validate_token,10,1,1
group02,group02.backend.routes,notification_routes,,get_notifications,12,1,1
group02,group02.backend.routes,notification_routes,,create_notification,19,2,0
group02,group02.backend.routes,questiontag_routes,,get_tags_for_question,19,1,1
group02,group02.backend.routes,questiontag_routes,,get_questions_for_tag,20,1,1
group02,group02.backend.routes,question_routes,,get_questions,12,1,0
group02,group02.backend.routes,question_routes,,get_question_by_id,16,1,1
group02,group02.backend.routes,question_routes,,get_question_for_edit,29,1,1
group02,group02.backend.routes,question_routes,,update_question,110,19,1
group02,group02.backend.routes,question_routes,,create_question,35,2,0
group02,group02.backend.routes,question_routes,,title_fuzzy_search,21,2,0
group02,group02.backend.routes,registration_routes,,register_user,16,1,0
group02,group02.backend.routes,registration_routes,,verify_otp,14,1,0
group02,group02.backend.routes,registration_routes,,forgot_password,15,1,0
group02,group02.backend.routes,registration_routes,,reset_password,14,1,0
group02,group02.backend.routes,registration_routes,,resend_otp,16,2,0
group02,group02.backend.routes,tag_routes,,get_tags,13,1,0
group02,group02.backend.routes,tag_routes,,get_tag_by_id,13,1,1
group02,group02.backend.routes,tag_routes,,create_tag,22,2,0
group02,group02.backend.routes,upload_routes,,upload_profile_picture,25,1,0
group02,group02.backend.routes,user_routes,,get_users,12,1,0
group02,group02.backend.routes,user_routes,,create_user,19,2,0
group02,group02.backend.routes,user_routes,,get_user,21,1,1
group02,group02.backend.routes,user_routes,,update_user,11,1,1
group02,group02.backend.routes,vote_routes,,get_votes,12,1,0
group02,group02.backend.routes,vote_routes,,create_vote,19,2,0
group02,group02.backend.routes,vote_routes,,get_vote_count,27,1,2
group02,group02.backend.routes,vote_routes,,update_vote,22,1,1
group02,group02.backend.routes,vote_routes,,delete_vote,15,1,1
group02,group02.backend.routes,vote_routes,,get_user_votes,10,1,0
group02,group02.backend.services,answer_services,AnswerServices,__init__,2,1,0
group02,group02.backend.services,answer_services,AnswerServices,validate_answer_body,7,1,1
group02,group02.backend.services,answer_services,AnswerServices,question_exists,3,1,1
group02,group02.backend.services,answer_services,AnswerServices,create_answer,12,1,3
group02,group02.backend.services,answer_services,AnswerServices,get_answers_by_question,3,1,1
group02,group02.backend.services,answer_services,AnswerServices,get_answers_by_user,3,1,1
group02,group02.backend.services,answer_services,AnswerServices,count_answers_by_user,3,1,1
group02,group02.backend.services,answer_services,AnswerServices,count_answers_by_question,3,1,1
group02,group02.backend.services,gemini_services,GeminiServices,__init__,6,2,0
group02,group02.backend.services,gemini_services,GeminiServices,generate_answer,60,4,2
group02,group02.backend.services,gemini_services,GeminiServices,summarize_answers,54,5,1
group02,group02.backend.services,gemini_services,GeminiServices,is_response_truncated,9,3,1
group02,group02.backend.services,user_login,UserLoginServices,__init__,2,1,0
group02,group02.backend.services,user_login,UserLoginServices,verify_credentials,9,2,2
group02,group02.backend.services,user_login,UserLoginServices,generate_token,6,1,0
group02,group02.backend.services,user_login,UserLoginServices,get_user_info,15,1,0
group02,group02.backend.services,user_registration,UserRegistrationService,__init__,2,1,0
group02,group02.backend.services,user_registration,UserRegistrationService,user_exists,4,1,1
group02,group02.backend.services,user_registration,UserRegistrationService,create_user,14,1,2
group02,group02.backend.services,user_registration,UserRegistrationService,verify_and_create_user,23,1,1
group02,group02.backend.services,user_registration,UserRegistrationService,validate_email,4,1,1
group02,group02.backend.services,user_registration,UserRegistrationService,send_otp,57,1,1
group02,group02.backend.services,user_registration,UserRegistrationService,reset_otp,57,1,1
group02,group02.backend.services,user_registration,UserRegistrationService,reset_password,10,1,3
group02,group02.backend.services,user_registration,UserRegistrationService,generate_otp,2,1,0
group02,group02.backend.services,user_registration,UserRegistrationService,check_otp,2,1,1
group02,group02.backend.test,test_base,DatabaseTestCase,setUpClass,11,1,1
group02,group02.backend.test,test_base,DatabaseTestCase,tearDownClass,8,2,1
group02,group02.backend.test,test_base,DatabaseTestCase,setUp,24,4,0
group02,group02.backend.test,test_base,DatabaseTestCase,tearDown,5,2,0
group02,group02.backend.test,test_base,TestDataCreation,create_test_user,22,6,2
group02,group02.backend.test,test_base,TestDataCreation,create_test_question,15,2,3
group02,group02.backend.test,test_base,TestDataCreation,create_test_answer,13,2,3
group02,group02.backend.test,test_base,TestDataCreation,create_test_tag,12,2,2
group02,group02.backend.test,test_base,TestDataCreation,create_test_question_tag,12,2,2
group02,group02.backend.test,test_base,TestDataCreation,create_test_vote,14,2,4
group02,group02.backend.test,test_base,TestDataCreation,create_test_comment,13,2,3
group02,group02.backend.test.integration,ai_routes_test,AiRoutesTestCase,test_post_ai_ans_success,14,1,1
group02,group02.backend.test.integration,ai_routes_test,AiRoutesTestCase,test_ai_answer_missing_title,6,1,0
group02,group02.backend.test.integration,ai_routes_test,AiRoutesTestCase,test_post_ai_summary_success,19,1,1
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,app,76,1,0
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,client,2,1,1
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,auth_headers,8,1,1
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,question_author_headers,8,1,1
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_load_edit_ans_success,7,1,2
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_load_edit_ans_not_found,3,1,2
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_get_ans_for_edit_unauth,3,1,1
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_edit_forbidden_non_author,5,1,2
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_update_answer_success,17,1,3
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_update_validation_min_len,11,1,2
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_upd_validation_body_req,11,1,2
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_get_answer_edit_forbidden,10,1,2
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_update_increments_edits,15,1,3
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_update_changes_timestamp,16,1,3
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_edit_indicator_in_list,14,1,3
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_edit_accepted_clears_flag,17,1,3
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_edit_unaccepted_no_change,12,1,2
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_update_no_change_no_incr,13,1,3
group02,group02.backend.test.integration,answer_edit_test,TestAnswerEditRoutesMinimal,test_get_answers_has_edit_data,16,1,2
group02,group02.backend.test.integration,answer_routes_test,AnswerRoutesTestCase,setUp,33,2,0
group02,group02.backend.test.integration,answer_routes_test,AnswerRoutesTestCase,test_ans_endpoint_exists,5,1,0
group02,group02.backend.test.integration,answer_routes_test,AnswerRoutesTestCase,test_ans_response_structure,6,1,0
group02,group02.backend.test.integration,answer_routes_test,AnswerRoutesTestCase,test_ans_count_endpoint_exists,5,1,0
group02,group02.backend.test.integration,answer_routes_test,AnswerRoutesTestCase,test_ans_count_response_struc,8,1,0
