Project,Package,Module,Class,Smell,Method,Line no,File,Description
group02,group02.backend.config,config_supabase,,Long statement,,4,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\config\config_supabase.py,A line with 216 chars in config_supabase exceeds the maximum length of 120 characters.
group02,group02.backend.DPy,push_to_dcode,,Complex method,main,10 - 91,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\DPy\push_to_dcode.py,"Method 'main' has a cyclomatic complexity of 10, exceeding the max of 6."
group02,group02.backend.DPy,push_to_dcode,,Long method,main,10 - 91,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\DPy\push_to_dcode.py,Method 'main' is too long (73 lines).
group02,group02.backend.DPy,push_to_dcode,,Long statement,,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\DPy\push_to_dcode.py,A line with 124 chars in push_to_dcode exceeds the maximum length of 120 characters.
group02,group02.backend.DPy,push_to_dcode,,Magic number,main,21,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\DPy\push_to_dcode.py,Magic number 2 used in main.
group02,group02.backend.DPy,push_to_dcode,,Magic number,main,22,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\DPy\push_to_dcode.py,Magic number 3 used in main.
group02,group02.backend.DPy,push_to_dcode,,Magic number,main,23,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\DPy\push_to_dcode.py,Magic number 4 used in main.
group02,group02.backend.middleware,auth_middleware,,Long statement,login_required,15,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\middleware\auth_middleware.py,A line with 321 chars in login_required exceeds the maximum length of 120 characters.
group02,group02.backend.middleware,auth_middleware,,Long statement,login_required,28,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\middleware\auth_middleware.py,A line with 139 chars in login_required exceeds the maximum length of 120 characters.
group02,group02.backend.middleware,auth_middleware,,Long statement,,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\middleware\auth_middleware.py,A line with 160 chars in auth_middleware exceeds the maximum length of 120 characters.
group02,group02.backend.middleware,auth_middleware,,Magic number,login_required,42,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\middleware\auth_middleware.py,Magic number 401 used in login_required.
group02,group02.backend.middleware,auth_middleware,,Magic number,login_required,58,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\middleware\auth_middleware.py,Magic number 401 used in login_required.
group02,group02.backend.middleware,auth_middleware,,Magic number,login_required,70,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\middleware\auth_middleware.py,Magic number 401 used in login_required.
group02,group02.backend.middleware,auth_middleware,,Magic number,login_required,73,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\middleware\auth_middleware.py,Magic number 401 used in login_required.
group02,group02.backend.middleware,auth_middleware,,Magic number,login_required,78,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\middleware\auth_middleware.py,Magic number 401 used in login_required.
group02,group02.backend.middleware,auth_middleware,,Magic number,token_required,91,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\middleware\auth_middleware.py,Magic number 401 used in token_required.
group02,group02.backend.middleware,auth_middleware,,Magic number,token_required,104,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\middleware\auth_middleware.py,Magic number 401 used in token_required.
